[0.000000, 0.000000]
[-23.506981, -46.607839]
[-23.510465, -46.596327]
[-23.517337, -46.681758]
[-23.509308, -46.584487]
[-23.511433, -46.656993]
[-23.532119, -46.653065]
[-23.559416, -46.596069]
[-23.554824, -46.670353]
[-23.547327, -46.610303]
[-23.583035, -46.665088]
[-23.552180, -46.618187]
[-23.527647, -46.637223]
[-23.538926, -46.622967]
[-23.552442, -46.664810]
[-23.595137, -46.589772]
[-23.549464, -46.623362]
[-23.593948, -46.679084]
[-23.509561, -46.640041]
[-23.506332, -46.656226]
[-23.595794, -46.648762]
[-23.594838, -46.639033]
[-23.505438, -46.604262]
[-23.506209, -46.668724]
[-23.548378, -46.617114]
[-23.529136, -46.647242]
[-23.514327, -46.626198]
[-23.517473, -46.656254]
[-23.597768, -46.680818]
[-23.562728, -46.654033]
[-23.515084, -46.681615]
[-23.583045, -46.599026]
[-23.516773, -46.646508]
[-23.573678, -46.679157]
[-23.571323, -46.598639]
[-23.595806, -46.653256]
[-23.534313, -46.632158]
[-23.528273, -46.634689]
[-23.594721, -46.603222]
[-23.588210, -46.638338]
[-23.576869, -46.597620]
[-23.511659, -46.621250]
[-23.599175, -46.612059]
[-23.552285, -46.651750]
[-23.592356, -46.602007]
[-23.574904, -46.586100]
[-23.586135, -46.664332]
[-23.583506, -46.595010]
[-23.541177, -46.681788]
[-23.575531, -46.676632]
[-23.596517, -46.670214]
[-23.513028, -46.631791]
[-23.520287, -46.602681]
[-23.506463, -46.670847]
[-23.533186, -46.654427]
[-23.547375, -46.679740]
[-23.544916, -46.629825]
[-23.541547, -46.644923]
[-23.553720, -46.678900]
[-23.544247, -46.593559]
[-23.537401, -46.610927]
[-23.516242, -46.599106]
[-23.597389, -46.641558]
[-23.546284, -46.619507]
[-23.584745, -46.593814]
[-23.511516, -46.613286]
[-23.548128, -46.647867]
[-23.545753, -46.650736]
[-23.559250, -46.596867]
[-23.543422, -46.655741]
[-23.589044, -46.617087]
[-23.527380, -46.630148]
[-23.543193, -46.623271]
[-23.501458, -46.637307]
[-23.513160, -46.587247]
[-23.515870, -46.654422]
[-23.502847, -46.586393]
[-23.587839, -46.656648]
[-23.575421, -46.649453]
[-23.540904, -46.661244]
[-23.569485, -46.636183]
[-23.501426, -46.659455]
[-23.539299, -46.640152]
[-23.541871, -46.640567]
[-23.564238, -46.589818]
[-23.516028, -46.622975]
[-23.563603, -46.642679]
[-23.551359, -46.621056]
[-23.505395, -46.660146]
[-23.559080, -46.633489]
[-23.559376, -46.672900]
[-23.581497, -46.629787]
[-23.545242, -46.622113]
[-23.507360, -46.659769]
[-23.539417, -46.670060]
[-23.524146, -46.646744]
[-23.579515, -46.659618]
[-23.553036, -46.662530]
[-23.571092, -46.655044]
[-23.511559, -46.642945]
[-23.591747, -46.607340]
[-23.588264, -46.586247]
[-23.554393, -46.631130]
[-23.596885, -46.643274]
[-23.558124, -46.600419]
[-23.551724, -46.638298]
[-23.574874, -46.628060]
[-23.552333, -46.646304]
[-23.553157, -46.675796]
[-23.543419, -46.590275]
[-23.550678, -46.626016]
[-23.552703, -46.652897]
[-23.538712, -46.618869]
[-23.570295, -46.676174]
[-23.567331, -46.674157]
[-23.553906, -46.608841]
[-23.571089, -46.639574]
[-23.527906, -46.664910]
[-23.578019, -46.675941]
[-23.581506, -46.597523]
[-23.567467, -46.667652]
[-23.553361, -46.649003]
[-23.580476, -46.640632]
[-23.553368, -46.630170]
[-23.594218, -46.592498]
[-23.599783, -46.605323]
[-23.576419, -46.633518]
[-23.543406, -46.622261]
[-23.596105, -46.585290]
[-23.502737, -46.627682]
[-23.572447, -46.639440]
[-23.566435, -46.587956]
[-23.532066, -46.626718]
[-23.581812, -46.639383]
[-23.518176, -46.635527]
[-23.513781, -46.590355]
[-23.535507, -46.621242]
[-23.518120, -46.630380]
[-23.594657, -46.607744]
[-23.574972, -46.609761]
[-23.548250, -46.653571]
[-23.560142, -46.597238]
[-23.594700, -46.662600]
[-23.561377, -46.624268]
[-23.586459, -46.617721]
[-23.576324, -46.668253]
[-23.540699, -46.623012]
[-23.576349, -46.632920]
[-23.589246, -46.649481]
[-23.574959, -46.636203]
[-23.528354, -46.594431]
[-23.568330, -46.642078]
[-23.566935, -46.590871]
[-23.592520, -46.617947]
[-23.514325, -46.597364]
[-23.544945, -46.607377]
[-23.519680, -46.667774]
[-23.565659, -46.614237]
[-23.512428, -46.663742]
[-23.506933, -46.596567]
[-23.502397, -46.680546]
[-23.568010, -46.602465]
[-23.501296, -46.614202]
[-23.521576, -46.586874]
[-23.528787, -46.642283]
[-23.527751, -46.672648]
[-23.510146, -46.606829]
[-23.552010, -46.636109]
[-23.552043, -46.641733]
[-23.523596, -46.650304]
[-23.547494, -46.639087]
[-23.566536, -46.645693]
[-23.554007, -46.669881]
[-23.563872, -46.596449]
[-23.524712, -46.589455]
[-23.528364, -46.592923]
[-23.501029, -46.615798]
[-23.529088, -46.593053]
[-23.512021, -46.643268]
[-23.560363, -46.658003]
[-23.513513, -46.628263]
[-23.598171, -46.601243]
[-23.568526, -46.670326]
[-23.501277, -46.655159]
[-23.512857, -46.608126]
[-23.571793, -46.677188]
[-23.575263, -46.676436]
[-23.506349, -46.677029]
[-23.576368, -46.598936]
[-23.526008, -46.604277]
[-23.519704, -46.631490]
[-23.583801, -46.612194]
[-23.501389, -46.637430]
[-23.516876, -46.635800]
[-23.532615, -46.610702]
[-23.536155, -46.605821]
[-23.540395, -46.604044]
[-23.589132, -46.653554]
[-23.593929, -46.676126]
[-23.589514, -46.625545]
[-23.592084, -46.673545]
[-23.592954, -46.631905]
[-23.587137, -46.583756]
[-23.521484, -46.611751]
[-23.590405, -46.651826]
[-23.512107, -46.638229]
[-23.578708, -46.631884]
[-23.583217, -46.605291]
[-23.572530, -46.651155]
[-23.513631, -46.665972]
[-23.522185, -46.623720]
[-23.514707, -46.660702]
[-23.584625, -46.590129]
[-23.583355, -46.621052]
[-23.503068, -46.621893]
[-23.529296, -46.641595]
[-23.522110, -46.634892]
[-23.592417, -46.620775]
[-23.553104, -46.670543]
[-23.556686, -46.610775]
[-23.524603, -46.677414]
[-23.540996, -46.662757]
[-23.591075, -46.653807]
[-23.578723, -46.661457]
[-23.531514, -46.681554]
[-23.562787, -46.626725]
[-23.590755, -46.626299]
[-23.559929, -46.665154]
[-23.571832, -46.584282]
[-23.539090, -46.621013]
[-23.541133, -46.649761]
[-23.528340, -46.629635]
[-23.525521, -46.630674]
[-23.509605, -46.598077]
[-23.586651, -46.628178]
[-23.531735, -46.611976]
[-23.554225, -46.594523]
[-23.552118, -46.597570]
[-23.549293, -46.670750]
[-23.556913, -46.584678]
[-23.545229, -46.654820]
[-23.543512, -46.661420]
[-23.565288, -46.615270]
[-23.529293, -46.669715]
[-23.583742, -46.664013]
[-23.536575, -46.644177]
[-23.588268, -46.673624]
[-23.522256, -46.612847]
[-23.600229, -46.676688]
[-23.507332, -46.586355]
[-23.524295, -46.656099]
[-23.527185, -46.643094]
[-23.553323, -46.585333]
[-23.598238, -46.656489]
[-23.533922, -46.632555]
[-23.515033, -46.616798]
[-23.512709, -46.612933]
[-23.563690, -46.635664]
[-23.566479, -46.669674]
[-23.575297, -46.606560]
[-23.569204, -46.646969]
[-23.519191, -46.595789]
[-23.522195, -46.600761]
[-23.567308, -46.631670]
[-23.596619, -46.605602]
[-23.509571, -46.600162]
[-23.521753, -46.670769]
[-23.584645, -46.627622]
[-23.543931, -46.593929]
[-23.513421, -46.612239]
[-23.578277, -46.588492]
[-23.594696, -46.645481]
[-23.568132, -46.625575]
[-23.579444, -46.625737]
[-23.580010, -46.653578]
[-23.533319, -46.628685]
[-23.595060, -46.646560]
[-23.568640, -46.676172]
[-23.576900, -46.641266]
[-23.532755, -46.682262]
[-23.567561, -46.595600]
[-23.599108, -46.672269]
[-23.577870, -46.631804]
[-23.509722, -46.642900]
[-23.594214, -46.623636]
[-23.510042, -46.664804]
[-23.551277, -46.628529]
[-23.575603, -46.667537]
[-23.542282, -46.615340]
[-23.596883, -46.661711]
[-23.531708, -46.619585]
[-23.595857, -46.672174]
[-23.511864, -46.595989]
[-23.599804, -46.677703]
[-23.520438, -46.599787]
[-23.523151, -46.623867]
[-23.565692, -46.613228]
[-23.569211, -46.616413]
[-23.528656, -46.641517]
[-23.547852, -46.675826]
[-23.599601, -46.625276]
[-23.589039, -46.599153]
[-23.501140, -46.634130]
[-23.514559, -46.677457]
[-23.569987, -46.635283]
[-23.563982, -46.599261]
[-23.521411, -46.606241]
[-23.546315, -46.607573]
[-23.593732, -46.611957]
[-23.591155, -46.605042]
[-23.549689, -46.594774]
[-23.578764, -46.644237]
[-23.542638, -46.642208]
[-23.551177, -46.625977]
[-23.582522, -46.662758]
[-23.549090, -46.668662]
[-23.550912, -46.659518]
[-23.561449, -46.602505]
[-23.560468, -46.590945]
[-23.581192, -46.586104]
[-23.515749, -46.643678]
[-23.508976, -46.677886]
[-23.505948, -46.592345]
[-23.530585, -46.633668]
[-23.512457, -46.629041]
[-23.549228, -46.594201]
[-23.501472, -46.680239]
[-23.555963, -46.606041]
[-23.501535, -46.649654]
[-23.577114, -46.672897]
[-23.599370, -46.665467]
[-23.551297, -46.651063]
[-23.515221, -46.663428]
[-23.531713, -46.595124]
[-23.524525, -46.587976]
[-23.546345, -46.622081]
[-23.546709, -46.610871]
[-23.564121, -46.667322]
[-23.572671, -46.677857]
[-23.599879, -46.595204]
[-23.574018, -46.639925]
[-23.592006, -46.603059]
[-23.505407, -46.676307]
[-23.557207, -46.669154]
[-23.564626, -46.614701]
[-23.552299, -46.649908]
[-23.559260, -46.669803]
[-23.553120, -46.680284]
[-23.502041, -46.615809]
[-23.599333, -46.625679]
[-23.596741, -46.649294]
[-23.589720, -46.672657]
[-23.548470, -46.623161]
[-23.543321, -46.615684]
[-23.567313, -46.591235]
[-23.524761, -46.644675]
[-23.532664, -46.608909]
[-23.528476, -46.639453]
[-23.588954, -46.631127]
[-23.538116, -46.634287]
[-23.591933, -46.587997]
[-23.550275, -46.597146]
[-23.562867, -46.675802]
[-23.549113, -46.599777]
[-23.546190, -46.678093]
[-23.551146, -46.607469]
[-23.537304, -46.652597]
[-23.588567, -46.589526]
[-23.573356, -46.628951]
[-23.504311, -46.648819]
[-23.520541, -46.591679]
[-23.544438, -46.643952]
[-23.592763, -46.584623]
[-23.510221, -46.612944]
[-23.527434, -46.672987]
[-23.572188, -46.643981]
[-23.503630, -46.660051]
[-23.506401, -46.683068]
[-23.561349, -46.658075]
[-23.537804, -46.591704]
[-23.509327, -46.634355]
[-23.509085, -46.620709]
[-23.549076, -46.597951]
[-23.547677, -46.626573]
[-23.507116, -46.631824]
[-23.580119, -46.661120]
[-23.585725, -46.644954]
[-23.565771, -46.622939]
[-23.521531, -46.669871]
[-23.573478, -46.587942]
[-23.570288, -46.599648]
[-23.509476, -46.668842]
[-23.520841, -46.629376]
[-23.520970, -46.630821]
[-23.544637, -46.629094]
[-23.507983, -46.623063]
[-23.592279, -46.609558]
[-23.596854, -46.647503]
[-23.593614, -46.622123]
[-23.565136, -46.679842]
[-23.565192, -46.617627]
[-23.520803, -46.665787]
[-23.561482, -46.610905]
[-23.510020, -46.587544]
[-23.505866, -46.668034]
[-23.557924, -46.611275]
[-23.589654, -46.592182]
[-23.550817, -46.614862]
[-23.514588, -46.591636]
[-23.530895, -46.660948]
[-23.577669, -46.616316]
[-23.575336, -46.661132]
[-23.525975, -46.625500]
[-23.554554, -46.678679]
[-23.505427, -46.632958]
[-23.576530, -46.607185]
[-23.588189, -46.597216]
[-23.509622, -46.624731]
[-23.551557, -46.623674]
[-23.600211, -46.642106]
[-23.558303, -46.643478]
[-23.548971, -46.613422]
[-23.538850, -46.678555]
[-23.583387, -46.592198]
[-23.502789, -46.590556]
[-23.572756, -46.606789]
[-23.582656, -46.668999]
[-23.537188, -46.607408]
[-23.565721, -46.584983]
[-23.546004, -46.634670]
[-23.531096, -46.629060]
[-23.562927, -46.670488]
[-23.534361, -46.656649]
[-23.501424, -46.618024]
[-23.542615, -46.637294]
[-23.518714, -46.591024]
[-23.508021, -46.597152]
[-23.521152, -46.599837]
[-23.586722, -46.590231]
[-23.516103, -46.673020]
[-23.501253, -46.638225]
[-23.587020, -46.666660]
[-23.569297, -46.636387]
[-23.527726, -46.651416]
[-23.562059, -46.674535]
[-23.566021, -46.652344]
[-23.529210, -46.628956]
[-23.556249, -46.590447]
[-23.533511, -46.600721]
[-23.509508, -46.630823]
[-23.588158, -46.591180]
[-23.529548, -46.633634]
[-23.599261, -46.599014]
[-23.526013, -46.649367]
[-23.583994, -46.632278]
[-23.514562, -46.656180]
[-23.571658, -46.590498]
[-23.579524, -46.662751]
[-23.580121, -46.641080]
[-23.541048, -46.677623]
[-23.559070, -46.645857]
[-23.542844, -46.620635]
[-23.530122, -46.668988]
[-23.549933, -46.639637]
[-23.584795, -46.610129]
[-23.575513, -46.680748]
[-23.508833, -46.615244]
[-23.557164, -46.640711]
[-23.592368, -46.680184]
[-23.593570, -46.665757]
[-23.541947, -46.658153]
[-23.520964, -46.629847]
[-23.541693, -46.612417]
[-23.592353, -46.635526]
[-23.595192, -46.609303]
[-23.539720, -46.616745]
[-23.518354, -46.585703]
[-23.574458, -46.682418]
[-23.564191, -46.670647]
[-23.513226, -46.617007]
[-23.579400, -46.655155]
[-23.553353, -46.598862]
[-23.524643, -46.593374]
[-23.502235, -46.677812]
[-23.588860, -46.626903]
[-23.551860, -46.629977]
[-23.577637, -46.630163]
[-23.544544, -46.677795]
[-23.541824, -46.609720]
[-23.548244, -46.675103]
[-23.537341, -46.618665]
[-23.584665, -46.595780]
[-23.550462, -46.597122]
[-23.500843, -46.665874]
[-23.578381, -46.636479]
[-23.510198, -46.587567]
[-23.555394, -46.594533]
[-23.548179, -46.634139]
[-23.527437, -46.628685]
[-23.542087, -46.585332]
[-23.564730, -46.602790]
[-23.588115, -46.645292]
[-23.580356, -46.625240]
[-23.550590, -46.669089]
[-23.513557, -46.631400]
[-23.528967, -46.637663]
[-23.567138, -46.672128]
[-23.529947, -46.617963]
[-23.502176, -46.660261]
[-23.531013, -46.616523]
[-23.559720, -46.597653]
[-23.537608, -46.673196]
[-23.526242, -46.583637]
[-23.567875, -46.610012]
[-23.563181, -46.599319]
[-23.512839, -46.591870]
[-23.587073, -46.584958]
[-23.532903, -46.587942]
[-23.527937, -46.645230]
[-23.560385, -46.639884]
[-23.549879, -46.650763]
[-23.509054, -46.661803]
[-23.568752, -46.641973]
[-23.538141, -46.642391]
[-23.552394, -46.648197]
[-23.518793, -46.598115]
[-23.553769, -46.628246]
[-23.594217, -46.603049]
[-23.577148, -46.656287]
[-23.537559, -46.652755]
[-23.516324, -46.625731]
[-23.573840, -46.675427]
[-23.597082, -46.682189]
[-23.513589, -46.599520]
[-23.510246, -46.587217]
[-23.516251, -46.588343]
[-23.507414, -46.618851]
[-23.575692, -46.660185]
[-23.584123, -46.676799]
[-23.587789, -46.655256]
[-23.517678, -46.596870]
[-23.508095, -46.611208]
[-23.523540, -46.607254]
[-23.590985, -46.587410]
[-23.506965, -46.586397]
[-23.591624, -46.600697]
[-23.574548, -46.651048]
[-23.539100, -46.657686]
[-23.544203, -46.599632]
[-23.594548, -46.591698]
[-23.554799, -46.601010]
[-23.514216, -46.646190]
[-23.512418, -46.596493]
[-23.526179, -46.606651]
[-23.556978, -46.602580]
[-23.519902, -46.605354]
[-23.572295, -46.647292]
[-23.580924, -46.652523]
[-23.503255, -46.632932]
[-23.504138, -46.609572]
[-23.544458, -46.619211]
[-23.593653, -46.681516]
[-23.553992, -46.661414]
[-23.547964, -46.670980]
[-23.600187, -46.601605]
[-23.580311, -46.641829]
[-23.586644, -46.594987]
[-23.515394, -46.623522]
[-23.549597, -46.621486]
[-23.563139, -46.645524]
[-23.507788, -46.617038]
[-23.542447, -46.649757]
[-23.564108, -46.642653]
[-23.517543, -46.597378]
[-23.514193, -46.660098]
[-23.533676, -46.654221]
[-23.534506, -46.649520]
[-23.597720, -46.633938]
[-23.517559, -46.593870]
[-23.516665, -46.589235]
[-23.560549, -46.672233]
[-23.562301, -46.673197]
[-23.580456, -46.643416]
[-23.512180, -46.611925]
[-23.552236, -46.615769]
[-23.522519, -46.650860]
[-23.527388, -46.603309]
[-23.522877, -46.620589]
[-23.597747, -46.664702]
[-23.572148, -46.624546]
[-23.572433, -46.592433]
[-23.581033, -46.590995]
[-23.559463, -46.602314]
[-23.533453, -46.589738]
